ts,coin,label,mid_price
2026-07-07T17:15:58.435387+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:15:58.435387+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:15:58.435387+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:01.310250+00:00,#7510,Argentina,0.636155
2026-07-07T17:16:01.310250+00:00,#7511,Egypt,0.363845
2026-07-07T17:16:01.310250+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:01.310250+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:01.310250+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:01.310250+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:06.459065+00:00,#7510,Argentina,0.636155
2026-07-07T17:16:06.459065+00:00,#7511,Egypt,0.363845
2026-07-07T17:16:06.459065+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:06.459065+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:06.459065+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:06.459065+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:13.043051+00:00,#7510,Argentina,0.63616
2026-07-07T17:16:13.043051+00:00,#7511,Egypt,0.36384
2026-07-07T17:16:13.043051+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:13.043051+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:13.043051+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:13.043051+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:15.484870+00:00,#7510,Argentina,0.63616
2026-07-07T17:16:15.484870+00:00,#7511,Egypt,0.36384
2026-07-07T17:16:15.484870+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:15.484870+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:15.484870+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:15.484870+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:17.542728+00:00,#7510,Argentina,0.63615
2026-07-07T17:16:17.542728+00:00,#7511,Egypt,0.36385
2026-07-07T17:16:17.542728+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:17.542728+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:17.542728+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:17.542728+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:21.499269+00:00,#7510,Argentina,0.633235
2026-07-07T17:16:21.499269+00:00,#7511,Egypt,0.366765
2026-07-07T17:16:21.499269+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:21.499269+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:21.499269+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:21.499269+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:26.700768+00:00,#7510,Argentina,0.63191
2026-07-07T17:16:26.700768+00:00,#7511,Egypt,0.36809
2026-07-07T17:16:26.700768+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:26.700768+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:26.700768+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:26.700768+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:31.638179+00:00,#7510,Argentina,0.63191
2026-07-07T17:16:31.638179+00:00,#7511,Egypt,0.36809
2026-07-07T17:16:31.638179+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:31.638179+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:31.638179+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:31.638179+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:32.543163+00:00,#7510,Argentina,0.63191
2026-07-07T17:16:32.543163+00:00,#7511,Egypt,0.36809
2026-07-07T17:16:32.543163+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:32.543163+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:32.543163+00:00,#1870,egypt_champion_yes,0.0055
2026-07-07T17:16:32.543163+00:00,#1871,egypt_champion_no,0.9945
2026-07-07T17:16:36.616505+00:00,#7510,Argentina,0.627255
2026-07-07T17:16:36.616505+00:00,#7511,Egypt,0.372745
2026-07-07T17:16:36.616505+00:00,#1730,argentina_champion_yes,0.11434
2026-07-07T17:16:36.616505+00:00,#1731,argentina_champion_no,0.88566
2026-07-07T17:16:36.616505+00:00,#1870,egypt_champion_yes,0.0055
