ts,coin,label,mid_price
2026-07-09T19:40:45.301290+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:48.599803+00:00,#7610,France,0.775345
2026-07-09T19:40:48.599803+00:00,#7611,Morocco,0.224655
2026-07-09T19:40:48.599803+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:48.599803+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:48.599803+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:48.599803+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:40:53.858316+00:00,#7610,France,0.774735
2026-07-09T19:40:53.858316+00:00,#7611,Morocco,0.225265
2026-07-09T19:40:53.858316+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:40:53.858316+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:40:53.858316+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:40:53.858316+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:00.453078+00:00,#7610,France,0.774765
2026-07-09T19:41:00.453078+00:00,#7611,Morocco,0.225235
2026-07-09T19:41:00.453078+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:00.453078+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:00.453078+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:00.453078+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:02.221986+00:00,#7610,France,0.774765
2026-07-09T19:41:02.221986+00:00,#7611,Morocco,0.225235
2026-07-09T19:41:02.221986+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:02.221986+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:02.221986+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:02.221986+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:04.291815+00:00,#7610,France,0.774765
2026-07-09T19:41:04.291815+00:00,#7611,Morocco,0.225235
2026-07-09T19:41:04.291815+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:04.291815+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:04.291815+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:04.291815+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:08.983162+00:00,#7610,France,0.774835
2026-07-09T19:41:08.983162+00:00,#7611,Morocco,0.225165
2026-07-09T19:41:08.983162+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:08.983162+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:08.983162+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:08.983162+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:13.712183+00:00,#7610,France,0.774785
2026-07-09T19:41:13.712183+00:00,#7611,Morocco,0.225215
2026-07-09T19:41:13.712183+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:13.712183+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:13.712183+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:13.712183+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:18.852496+00:00,#7610,France,0.774775
2026-07-09T19:41:18.852496+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:18.852496+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:18.852496+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:18.852496+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:18.852496+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:19.291582+00:00,#7610,France,0.774775
2026-07-09T19:41:19.291582+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:19.291582+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:19.291582+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:19.291582+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:19.291582+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:24.088332+00:00,#7610,France,0.774785
2026-07-09T19:41:24.088332+00:00,#7611,Morocco,0.225215
2026-07-09T19:41:24.088332+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:24.088332+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:24.088332+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:24.088332+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:28.846882+00:00,#7610,France,0.774765
2026-07-09T19:41:28.846882+00:00,#7611,Morocco,0.225235
2026-07-09T19:41:28.846882+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:28.846882+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:28.846882+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:28.846882+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:33.990187+00:00,#7610,France,0.774775
2026-07-09T19:41:33.990187+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:33.990187+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:33.990187+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:33.990187+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:33.990187+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:36.207728+00:00,#7610,France,0.774775
2026-07-09T19:41:36.207728+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:36.207728+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:36.207728+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:36.207728+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:36.207728+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:39.404043+00:00,#7610,France,0.774775
2026-07-09T19:41:39.404043+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:39.404043+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:39.404043+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:39.404043+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:39.404043+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:44.017385+00:00,#7610,France,0.774775
2026-07-09T19:41:44.017385+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:44.017385+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:44.017385+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:44.017385+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:44.017385+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:49.006335+00:00,#7610,France,0.774775
2026-07-09T19:41:49.006335+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:49.006335+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:49.006335+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:49.006335+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:49.006335+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:52.885740+00:00,#7610,France,0.774775
2026-07-09T19:41:52.885740+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:52.885740+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:52.885740+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:52.885740+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:52.885740+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:55.006515+00:00,#7610,France,0.774775
2026-07-09T19:41:55.006515+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:55.006515+00:00,#1890,france_champion_yes,0.32307
2026-07-09T19:41:55.006515+00:00,#1891,france_champion_no,0.67693
2026-07-09T19:41:55.006515+00:00,#1990,morocco_champion_yes,0.031825
2026-07-09T19:41:55.006515+00:00,#1991,morocco_champion_no,0.968175
2026-07-09T19:41:59.079099+00:00,#7610,France,0.774775
2026-07-09T19:41:59.079099+00:00,#7611,Morocco,0.225225
2026-07-09T19:41:59.079099+00:00,#1890,france_champion_yes,0.32307
