ts,coin,label,book_time_ms,best_bid_before,best_bid_after,best_ask_before,best_ask_after,bid_top_depth_delta,ask_top_depth_delta,bid_top_notional_delta,ask_top_notional_delta,mid_move,spread_before,spread_after,is_impulse
2026-06-30T21:00:08.865554+00:00,#6740,France,1782853208426,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:08.865638+00:00,#6741,Sweden,1782853208426,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:09.371801+00:00,#1890,france_champion_yes,1782853208927,0.2852,0.2852,0.30336,0.30336,0.0,0.0,0.0,0.0,0.0,0.01816000000000001,0.01816000000000001,False
2026-06-30T21:00:09.372010+00:00,#1891,france_champion_no,1782853208927,0.69664,0.69664,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.018159999999999954,0.018159999999999954,False
2026-06-30T21:00:09.372132+00:00,#2130,sweden_champion_yes,1782853208927,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:09.372227+00:00,#2131,sweden_champion_no,1782853208927,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:09.372314+00:00,#6740,France,1782853208927,0.88165,0.88165,0.88333,0.88333,0.0,0.0,0.0,0.0,0.0,0.0016799999999999038,0.0016799999999999038,False
2026-06-30T21:00:09.372417+00:00,#6741,Sweden,1782853208927,0.11667,0.11667,0.11835,0.11835,0.0,0.0,0.0,0.0,0.0,0.001680000000000001,0.001680000000000001,False
2026-06-30T21:00:09.910325+00:00,#1890,france_champion_yes,1782853209500,0.2852,0.2852,0.30336,0.30336,0.0,0.0,0.0,0.0,0.0,0.01816000000000001,0.01816000000000001,False
2026-06-30T21:00:09.910533+00:00,#1891,france_champion_no,1782853209500,0.69664,0.69664,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.018159999999999954,0.018159999999999954,False
